TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX,RN_JUN
201601161500,108,9,2.8,-9,-9.0,-9,1011.5,1022.2,7,-1.6,2.7,-2.8,67.0,5.0,0.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,22,72,401905,8,8,10,Sc,0,0,5,600,0.7,1.02,1,3.4,0.9,-0.2,0.7,1.2,-9,-9.0,-9,4,1
201601161600,108,9,3.2,-9,-9.0,-9,1011.4,1022.2,-9,-9.0,2.6,-2.7,68.0,5.0,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,5,11,40,6,6,10,Sc,0,0,5,600,0.0,0.50,-9,1.8,0.8,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601161700,108,9,3.0,-9,-9.0,-9,1011.7,1022.5,-9,-9.0,1.9,-2.6,72.0,5.0,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,5,11,40,6,0,-9,Ci,1,0,0,600,0.3,0.32,-9,-0.4,0.3,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601161800,108,11,3.2,-9,-9.0,-9,1011.8,1022.6,2,0.4,1.3,-2.8,74.0,5.0,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,5,22,40,7,7,10,Sc,0,0,5,700,0.0,0.06,-9,0.0,0.1,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601161900,108,9,3.6,-9,-9.0,-9,1012.0,1022.8,-9,-9.0,0.7,-3.4,74.0,4.8,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,-9,-9,40,-9,-9,-9,-,-9,-9,-9,800,-9.0,-9.00,-9,-0.3,0.0,-0.2,0.7,1.2,-9,-9.0,-9,3,-9
201601162000,108,9,2.7,-9,-9.0,-9,1012.5,1023.4,-9,-9.0,0.0,-3.7,76.0,4.6,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,-9,-9,40,-9,-9,-9,-,-9,-9,-9,800,-9.0,-9.00,-9,-0.4,0.0,-0.2,0.7,1.2,-9,-9.0,-9,3,-9
201601162100,108,9,2.6,-9,-9.0,-9,1012.3,1023.2,0,0.6,-0.1,-4.0,75.0,4.5,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,10,21,4019,3,3,10,Sc,0,0,5,800,-9.0,-9.00,1,-0.4,0.0,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601162200,108,11,2.4,-9,-9.0,-9,1011.9,1022.8,-9,-9.0,-0.3,-3.6,78.0,4.7,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,-9,-9,19,-9,-9,-9,-,-9,-9,-9,700,-9.0,-9.00,-9,-0.8,-0.1,-0.1,0.7,1.2,-9,-9.0,-9,3,-9
201601162300,108,9,3.9,-9,-9.0,-9,1011.5,1022.4,-9,-9.0,-0.4,-4.2,75.0,4.5,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,-9,-9,19,-9,-9,-9,-,-9,-9,-9,800,-9.0,-9.00,-9,-0.8,-0.1,-0.2,0.7,1.3,-9,-9.0,-9,3,-9
201601170000,108,9,2.5,-9,-9.0,-9,1011.1,1022.0,7,-1.2,-0.3,-4.2,75.0,4.5,-9.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,10,21,19,6,0,-9,Ci,1,0,0,800,-9.0,-9.00,-9,-0.9,-0.2,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601170100,108,9,2.9,-9,-9.0,-9,1011.1,1022.0,-9,-9.0,-0.5,-4.3,75.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,-9,-9,-9,-,-9,-9,-9,800,-9.0,-9.00,-9,-1.0,-0.3,-0.2,0.7,1.2,-9,-9.0,-9,3,-9
201601170200,108,9,2.3,-9,-9.0,-9,1011.1,1022.0,-9,-9.0,-0.4,-4.6,73.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,-9,-9,-9,-,-9,-9,-9,900,-9.0,-9.00,-9,-1.1,-0.4,-0.2,0.7,1.2,-9,-9.0,-9,3,-9
201601170300,108,9,2.2,-9,-9.0,-9,1011.4,1022.3,2,0.3,-0.4,-4.6,73.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,21,19,6,0,-9,Ci,1,0,0,800,-9.0,-9.00,4,-1.1,-0.5,-0.2,0.7,1.3,-9,-9.0,-9,3,1
201601170400,108,9,2.2,-9,-9.0,-9,1010.9,1021.8,-9,-9.0,-0.4,-3.9,77.0,4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,7,0,-9,Ci,2,0,0,700,-9.0,-9.00,-9,-0.9,-0.5,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601170500,108,9,2.1,-9,-9.0,-9,1010.2,1021.1,-9,-9.0,-0.6,-4.1,77.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,8,0,-9,Ci,2,0,0,700,-9.0,-9.00,-9,-0.8,-0.5,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601170600,108,9,2.4,-9,-9.0,-9,1009.5,1020.4,7,-1.9,-0.6,-4.3,76.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,9,0,-9,Ci,2,0,0,700,-9.0,-9.00,-9,-0.9,-0.5,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601170700,108,9,3.6,-9,-9.0,-9,1009.2,1020.1,-9,-9.0,-0.5,-4.5,74.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,9,0,-9,Ci,1,0,0,800,-9.0,-9.00,-9,-0.9,-0.4,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601170800,108,9,3.0,-9,-9.0,-9,1009.4,1020.3,-9,-9.0,-0.4,-4.6,73.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,9,0,-9,Ci,1,0,0,700,0.0,0.01,-9,-0.9,-0.4,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601170900,108,9,2.9,-9,-9.0,-9,1009.1,1020.0,7,-0.4,-0.2,-4.6,72.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,9,0,-9,Ci,1,0,0,800,0.0,0.10,4,-0.4,-0.3,-0.2,0.7,1.3,-9,-9.0,-9,3,1
201601171000,108,9,2.5,-9,-9.0,-9,1009.4,1020.2,-9,-9.0,0.9,-4.9,65.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,4019,9,0,-9,Ci,1,0,0,800,0.0,0.34,-9,0.1,0.0,-0.2,0.7,1.2,-9,-9.0,-9,3,1
201601171100,108,7,2.8,-9,-9.0,-9,1008.6,1019.4,-9,-9.0,1.9,-4.8,61.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,0,-9,Ci,1,0,0,800,0.0,0.52,-9,0.9,0.3,-0.2,0.7,1.3,-9,-9.0,-9,3,1
201601171200,108,7,2.5,-9,-9.0,-9,1007.4,1018.1,8,-1.9,3.3,-5.1,54.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,0,-9,Ci,1,0,0,800,0.0,0.76,-9,2.4,0.6,-0.1,0.7,1.3,-9,-9.0,-9,3,1
201601171300,108,7,2.9,-9,-9.0,-9,1006.0,1016.6,-9,-9.0,4.3,-4.9,51.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,0,-9,Ci,2,0,0,900,0.0,0.69,-9,2.8,1.0,-0.1,0.8,1.3,-9,-9.0,-9,3,1
201601171400,108,9,2.5,-9,-9.0,-9,1004.9,1015.5,-9,-9.0,4.9,-4.9,49.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,0,-9,Ci,2,0,0,900,0.0,0.63,-9,3.7,1.5,-0.1,0.8,1.3,-9,-9.0,-9,3,1
201601171500,108,11,2.0,-9,-9.0,-9,1004.8,1015.4,7,-2.7,5.3,-4.8,48.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,9,3,30,AcCi,2,3,0,900,0.0,0.61,1,3.3,1.6,-0.1,0.8,1.3,-9,-9.0,-9,3,1
201601171600,108,7,1.6,-9,-9.0,-9,1005.0,1015.6,-9,-9.0,5.1,-4.7,49.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,10,10,30,As,-9,1,0,900,0.0,0.36,-9,1.9,1.4,-0.1,0.8,1.3,-9,-9.0,-9,3,1
201601171700,108,9,2.6,-9,-9.0,-9,1004.6,1015.2,-9,-9.0,4.7,-4.5,51.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,10,10,30,As,-9,1,0,900,0.0,0.17,-9,0.9,0.9,-0.1,0.8,1.3,-9,-9.0,-9,3,1
201601171800,108,9,2.4,-9,-9.0,-9,1004.3,1014.9,8,-0.5,4.1,-4.3,54.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,22,40,10,10,30,As,-9,1,0,900,0.0,0.04,-9,0.1,0.6,-0.1,0.8,1.3,-9,-9.0,-9,3,1
201601171900,108,7,1.9,-9,-9.0,-9,1004.1,1014.7,-9,-9.0,3.3,-4.1,58.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,-9,-9,-9,-,-9,-9,-9,900,-9.0,-9.00,-9,0.0,0.1,-0.1,0.8,1.3,-9,-9.0,-9,3,-9
201601172000,108,9,2.6,-9,-9.0,-9,1003.2,1013.9,-9,-9.0,2.4,-3.7,64.0,4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,-9,-9,-9,-,-9,-9,-9,800,-9.0,-9.00,-9,-0.2,0.0,-0.1,0.8,1.2,-9,-9.0,-9,3,-9
201601172100,108,7,0.9,-9,-9.0,-9,1003.0,1013.7,7,-1.2,1.6,-4.6,63.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,1000,-9.0,-9.00,1,-0.4,-0.1,-0.2,0.7,1.3,-9,-9.0,-9,3,2
201601172200,108,32,2.6,-9,-9.0,-9,1002.7,1013.4,-9,-9.0,1.6,-4.4,64.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,-9,-9,-9,-,-9,-9,-9,800,-9.0,-9.00,-9,-0.4,0.1,-0.1,0.8,1.3,-9,-9.0,-9,3,-9
201601172300,108,32,1.2,-9,-9.0,-9,1002.2,1012.9,-9,-9.0,0.8,-4.4,68.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,-9,-9,-9,-,-9,-9,-9,800,-9.0,-9.00,-9,-0.7,-0.1,-0.1,0.8,1.3,-9,-9.0,-9,3,-9
201601180000,108,0,0.2,-9,-9.0,-9,1001.6,1012.4,7,-1.3,0.2,-4.2,72.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,10,40,1,1,10,Sc,0,0,5,700,-9.0,-9.00,-9,-0.9,-0.3,-0.1,0.8,1.3,-9,-9.0,-9,3,1
201601180100,108,32,0.9,-9,-9.0,-9,1000.8,1011.6,-9,-9.0,-0.3,-4.2,75.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,-9,-9,-9,-,-9,-9,-9,700,-9.0,-9.00,-9,-1.1,-0.3,-0.1,0.8,1.3,-9,-9.0,-9,3,-9
201601180200,108,29,2.5,-9,-9.0,-9,1000.6,1011.3,-9,-9.0,0.3,-4.3,71.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,-9,-9,-9,-,-9,-9,-9,600,-9.0,-9.00,-9,-0.3,-0.1,-0.1,0.8,1.3,-9,-9.0,-9,3,-9
201601180300,108,34,3.6,-9,-9.0,-9,1000.7,1011.5,5,-0.9,0.1,-3.4,77.0,4.8,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,70,72,401905,10,8,10,ScAs,-9,2,5,500,-9.0,-9.00,11,-0.2,0.0,-0.1,0.8,1.3,-9,-9.0,-9,4,1
201601180400,108,34,3.1,-9,-9.0,-9,1000.4,1011.2,-9,-9.0,-0.6,-2.0,90.0,5.3,-9.0,0.1,0.1,-9.0,-9.0,0.3,0.3,71,77,1905,10,8,4,StNs,-9,2,7,300,-9.0,-9.00,-9,-0.1,0.0,-0.1,0.8,1.3,-9,-9.0,-9,4,1
201601180500,108,29,6.2,-9,-9.0,-9,1000.3,1011.1,-9,-9.0,-0.9,-3.2,84.0,4.8,-9.0,0.2,0.2,-9.0,-9.0,0.4,0.4,71,77,1905,10,7,4,StAs,-9,2,7,400,-9.0,-9.00,-9,-0.1,0.0,-0.1,0.8,1.3,-9,-9.0,-9,4,1
201601180600,108,32,3.8,-9,-9.0,-9,1000.4,1011.2,5,-0.3,-1.7,-3.4,88.0,4.8,0.2,0.2,0.2,-9.0,0.4,0.4,0.4,22,72,1905,10,6,8,ScAs,-9,2,5,400,-9.0,-9.00,-9,-0.2,-0.1,-0.2,0.8,1.3,-9,-9.0,-9,4,1
201601180700,108,32,5.2,32,10.0,652,1000.9,1011.8,-9,-9.0,-3.3,-5.6,84.0,4.0,-9.0,0.2,0.2,-9.0,-9.0,0.4,0.4,10,22,19,10,10,4,St,-9,-9,6,500,-9.0,-9.00,-9,-0.4,-0.3,-0.1,0.8,1.3,-9,-9.0,-9,3,1
201601180800,108,2,4.4,-9,-9.0,-9,1001.8,1012.7,-9,-9.0,-4.3,-7.7,77.0,3.4,-9.0,0.2,0.2,-9.0,-9.0,0.4,0.4,10,22,19,10,10,5,St,-9,-9,6,500,0.0,0.00,-9,-0.7,-0.6,-0.2,0.8,1.3,-9,-9.0,-9,3,1
201601180900,108,5,3.6,32,10.0,652,1002.3,1013.3,2,2.1,-4.9,-9.1,72.0,3.1,-9.0,0.2,0.2,-9.0,-9.0,0.3,0.3,10,22,19,7,7,10,Sc,0,0,5,500,0.0,0.08,14,-0.7,-0.8,-0.2,0.8,1.3,-9,-9.0,-9,3,1
201601181000,108,5,5.5,-9,-9.0,-9,1003.1,1014.1,-9,-9.0,-4.7,-11.0,61.0,2.6,-9.0,0.2,0.2,-9.0,-9.0,0.3,0.3,5,22,4019,6,6,10,Sc,0,0,5,700,0.9,0.77,-9,-0.4,-0.7,-0.2,0.8,1.3,-9,-9.0,-9,3,1
201601181100,108,5,4.2,5,10.0,1008,1003.9,1014.9,-9,-9.0,-5.2,-11.7,60.0,2.5,-9.0,0.2,0.2,-9.0,-9.0,0.3,0.3,-9,-9,40,6,6,10,Sc,0,0,5,1200,0.6,0.61,-9,-0.4,-0.7,-0.2,0.9,1.3,-9,-9.0,-9,3,2
201601181200,108,34,7.1,34,13.0,1145,1003.8,1014.8,0,1.5,-5.4,-16.9,40.0,1.6,-9.0,0.2,0.2,-9.0,-9.0,0.1,0.1,-9,-9,-,4,4,10,Sc,0,0,5,1400,1.0,1.61,-9,1.2,-0.2,-0.1,0.9,1.3,-9,-9.0,-9,3,2
